street_name,stops_number,stop_name_dirty
1 Maja ,"['3033,3032']",Dubois (Zgierz) 
1 Maja ,"['3303,3304']",MDK (Aleksandrów) 
1 Maja ,"['3262,3034']",Piłsudskiego (Zgierz) 
1 Maja ,['0523'],Pogonowskiego 
1 Maja ,['3030'],plac Kilińskiego (Zgierz) 
1 Maja ,['0522'],Żeligowskiego 
11 Listopada ,['2190'],Dw. Łódź Radogoszcz Zach. 
11 Listopada ,['2189'],Dw. Łódź Radogoszcz Zach.NŻ 
11 Listopada ,"['0460,0454']",Jantarowa 
11 Listopada ,['2191'],Radogoszcz Zachód 
3 Maja ,['4863'],Kilińskiego/CPN (Lutomiersk) NŻ 
3 Maja ,"['3733,3734']",Moniuszki (Lutomiersk) 
3 Maja ,"['0525,0528']",Morska 
3 Maja ,"['0527,0526']",Świetlicowa 
6 Sierpnia ,['2156'],Pogonowskiego NŻ 
Abramowskiego ,['0001'],Sienkiewicza 
Aleksandrowska ,"['0012,0014,0013,0015']",Bielicowa 
Aleksandrowska ,"['1902,1901']",Chochoła 
Aleksandrowska ,"['0018,0008,0019,0009']",Kaczeńcowa 
Aleksandrowska ,"['0022,0003']",Lechicka 
Aleksandrowska ,"['1448,1447']",Romanowska 
Aleksandrowska ,['1871'],Rydzowa 
Aleksandrowska ,"['1903,1904']",Spadkowa 
Aleksandrowska ,"['0004,1900,1899,1821,0021']",Szczecińska 
Aleksandrowska ,"['0020,1897,0007']",Szparagowa 
Aleksandrowska ,"['0011,0010,0016,0017']",Traktorowa 
Andrespol ,['3233'],Andrespol 
Andrespol ,['3386'],Urząd Gminy 
Armii Krajowej ,"['2296,2297']",Batalionów Chłopskich 
Armii Krajowej ,"['4778,3268']",Długa (Zgierz) 
Armii Krajowej ,"['0024,0025']",Napierskiego 
Augustów ,"['0031,0026']",Bacewicz NŻ 
Augustów ,"['0410,0409']",Rokicińska 
Augustów ,"['0028,0029']",Rokicińska NŻ 
Augustów ,"['0030,0027']",Wujaka 
Bandurskiego ,"['1773,1772']",Atlas Arena 
Bandurskiego ,"['1599,1595,1596,2090']",Dw. Łódź Kaliska 
Bandurskiego ,"['1597,1600']",Wileńska 
Bandurskiego ,"['2126,2125']",Wróblewskiego 
Bartoszewskiego ,"['0940,0941']",Demokratyczna 
Bartoszewskiego ,['0937'],Pabianicka 
Bartoszewskiego ,"['0939,0938']",Pryncypalna 
Bartoszewskiego ,['1034'],Rzgowska NŻ 
Bartoszewskiego ,"['0942,0943']",Siostrzana 
Bałucki Rynek ,"['1869,1870']",Bałucki Rynek 
Bednarska ,['2295'],Pabianicka 
Bednarska ,"['2228,2229']",Unicka NŻ 
Biegunowa ,"['0147,1876']",Krakowska 
Biegunowa ,"['0156,1586']",Krańcowa 
Bieszczadzka ,"['0037,0038']",Kolumny NŻ 
Bohaterów Warszawy ,['3242'],Gimnazjum(Brzeziny) 
Borowa ,['0039'],Siewna 
Boya Żeleńskiego ,"['0040,0041']",Sucharskiego 
Bratysławska ,['0044'],Wileńska 
Bratysławska ,"['0042,0045']",Wróblewskiego 
Broniewskiego ,"['0053,0047']",Kilińskiego 
Broniewskiego ,"['0052,0048']",Kraszewskiego 
Broniewskiego ,['0050'],Tatrzańska 
Broniewskiego ,"['0049,0051']",Śmigłego-Rydza 
Bronisin ,['1186'],Brójecka NŻ 
Bronisin ,"['1190,1243']",Paprociowa NŻ 
Bronisin ,"['1245,1247']",Wiskicka NŻ 
Bronisin Dworski ,"['3521,3522']",Pogodna 
Brukowa ,['0054'],Limanowskiego 
Brukowa ,"['0055,0057']",Pojezierska 
Brukowa ,['0056'],św. Teresy 
Brzezińska ,"['1803,1802']",Autostrada A1 # 
Brzezińska ,['1786'],CH M1 
Brzezińska ,"['0073,0069']",Granatowa NŻ 
Brzezińska ,"['0070,0072']",Hiacyntowa 
Brzezińska ,"['0065,0077']",Janosika 
Brzezińska ,"['0074,0068']",Karkonoska NŻ 
Brzezińska ,"['0078,0064']",Kerna 
Brzezińska ,"['0066,0076']",Marmurowa 
Brzezińska ,['3382'],Mazowiecka (Andrespol) NŻ 
Brzezińska ,"['1813,1973']",Nowosolna 
Brzezińska ,"['0075,0067']",Olkuska NŻ 
Brzezińska ,['3374'],Rokicińska(Andrespol) 
Brzezińska ,"['3375,3376']",Sienkiewicza(Andrespol) 
Brzezińska ,['3383'],Słowiańska(Andrespol) NŻ 
Brzezińska ,"['1799,1800']",Tatarkiewicza 
Brzezińska ,"['0063,0079']",Śnieżna 
Brzeźna ,"['0080,0081']",Piotrkowska 
Brójecka ,['0513'],Bronisin NŻ 
Brójecka ,"['0510,0508']",Czternastu Straconych NŻ 
Brójecka ,"['2074,2075']",Paprociowa NŻ 
Bukowiec ,"['3329,3330']",Bukowiec 61 
Byszewska ,"['3079,3083']",Boginia 
Byszewska ,"['1907,1906']",Byszewska 26 # 
Byszewska ,['1905'],Nowosolna 
Byszewska ,"['1908,1909']",Pomarańczowa 
Chocianowicka ,"['0088,0083']",Chocianowicka 143 
Chocianowicka ,['0089'],Chocianowicka 199 
Chocianowicka ,['0082'],Chocianowicka 199 NŻ 
Chocianowicka ,"['0086,0085']",Chocianowicka 57 NŻ 
Chocianowicka ,['0087'],Chocianowicka 95 
Chocianowicka ,['0084'],Chocianowicka 95 NŻ 
Chocianowicka ,['2016'],Pabianicka 
Cmentarna ,['4899'],Legionów 
Cmentarna ,['4689'],Srebrzyńska 
Czahary ,['0180'],Czahary 
Czahary ,['2310'],Prądzyńskiego 
Czahary ,['1865'],Prądzyńskiego NŻ 
Czechosłowacka ,"['0094,0095']",Edwarda 
Czechosłowacka ,"['0093,0096']",Mazowiecka 
Czechosłowacka ,['0097'],Niciarniana 
Czerwona ,['0098'],Piotrkowska NŻ 
DK nr 71 ,"['0176,0177']",Godlewskiego NŻ 
DK nr 71 ,"['0174,0175']",Przyklasztorze NŻ 
DK nr 71 ,"['0138,0139']",Łagiewniki Nowe NŻ 
Daszyńskiego ,"['3306,3302']",Sienkiewicza (Aleks.) 
Demokratyczna ,['0722'],Bartoszewskiego 
Demokratyczna ,['0132'],Bartoszewskiego NŻ 
Demokratyczna ,['0131'],Demokratyczna 117 NŻ 
Demokratyczna ,"['0134,0129']",Dzwonowa 
Demokratyczna ,"['0133,0130']",Matowa NŻ 
Demokratyczna ,['0135'],Starorudzka 
Demokratyczna ,['0731'],Trybunalska 
Dobieszków ,['3452'],Hotel 
Dobieszków ,"['3453,3454']",Młyn 
Dobieszków ,['3451'],O.Sz. i W 
Dobieszków ,"['3455,3456']",Wieś 
Dojazdowa ,['4894'],Słowicza NŻ 
Dolna ,"['4590,0136,0137']",Łagiewnicka 
Doły ,"['1593,1877']",Smutna NŻ 
Doły ,"['1592,1878']",Telefoniczna NŻ 
Drewnowska ,"['0141,0145']",Karskiego NŻ 
Drewnowska ,['0146'],Kasprzaka 
Drewnowska ,['0140'],Okrzei 
Drewnowska ,"['0142,0144']",Piwna 
Drewnowska ,['0143'],Zachodnia 
Dubois ,"['0150,0153']",Hoffmanowej 
Dubois ,"['0151,0152']",Pabianicka 
Dubois ,"['0149,0154']",Pusta NŻ 
Dąbrowa ,"['3431,3432']",Dąbrowa 
Dąbrowskiego ,"['0114,1753,1754']",Dw. Łódź Dąbrowa 
Dąbrowskiego ,"['0123,0100,0124']",Kilińskiego 
Dąbrowskiego ,"['0119,0106,0107,0118']",Kossaka 
Dąbrowskiego ,"['0110,0112']",Lodowa 
Dąbrowskiego ,"['0109,0113']",Ossendowskiego 
Dąbrowskiego ,"['1630,1631,0117,0108']",Podhalańska 
Dąbrowskiego ,"['0127,0126']",Rzgowska 
Dąbrowskiego ,"['0120,0105,4663']",Tatrzańska 
Dąbrowskiego ,"['1857,0111']",Tomaszowska 
Dąbrowskiego ,"['0102,0122']",Śmigłego-Rydza 
Długa ,['3110'],Armii Krajowej(Zgierz) 
Długa ,"['3024,3025']",Sierakowskiego (Zgierz) 
Długa ,"['3029,3028']",Skłodowskiej-Curie (Zgierz) 
Długa ,"['3027,3026']",Spacerowa (Zgierz) 
Długa ,"['3031,3221']",plac Kilińskiego (Zgierz) 
Długa ,"['3022,3023']",Łagiewnicka (Zgierz) # 
Edwarda ,['2212'],Czechosłowacka 
Edwarda ,"['0162,0163']",Pomorska 
Ekonomiczna ,"['0254,0253']",Graniczna NŻ 
Ekonomiczna ,"['0252,0251']",Kwaterunkowa NŻ 
Ekonomiczna ,"['0413,0246']",Starorudzka NŻ 
Ekonomiczna ,"['0249,0250']",Żwawa NŻ 
Elektronowa ,['1875'],Nowe Sady 
Elektronowa ,['0164'],Obywatelska 
Elektronowa ,['0165'],Zakłady Mięsne 
Fabryczna ,['0169'],Kilińskiego 
Fabryczna ,"['0167,0168']",Przędzalniana 
Fabryczna ,['0166'],Targowa NŻ 
Feliksińska ,"['1577,1578']",Dworcowa NŻ 
Felińskiego ,"['1783,1917']",Gojawiczyńskiej 
Felińskiego ,"['0172,0171']",Kadłubka 
Felińskiego ,"['0170,0173']",Konspiracyjnego WP 
Fizylierów ,"['0179,2029']",Złotno 
Franciszkańska ,['2322'],Inflancka NŻ 
Franciszkańska ,['2321'],Kowalska 
Franciszkańska ,"['2299,2265']",Organizacji WiN 
Franciszkańska ,"['0189,0190']",Północna 
Franciszkańska ,"['0185,0188']",Tokarzewskiego 
Franciszkańska ,"['0183,4216,0184']",Wojska Polskiego 
Fredry ,['3180'],SP nr 1(Brzeziny) 
Gajcego ,"['2149,2148']",Dw. Łódź Andrzejów 
Gajcego ,"['2144,2145']",Rataja 
Gajcego ,"['1840,1841']",Rokicińska 
Gajcego ,['2150'],Rokicińska NŻ 
Gajcego ,"['2146,2147']",Szelburg-Zarembiny NŻ 
Gajcego ,"['0192,0191']",Słowiańska NŻ 
Gajcego ,"['1842,1413']",Zakładowa 
Gałczyńskiego ,"['3042,3043']",Parzęczewska  (Zgierz) 
Gałczyńskiego ,"['3044,3045']",Tuwima (Zgierz) 
Gdańska ,"['0195,0197']",1 Maja 
Gdańska ,['4924'],Gdańska 
Gdańska ,['0196'],Legionów 
Gdańska ,['0193'],Skłodowskiej-Curie 
Gdańska ,['0199'],Struga 
Gdańska ,"['0194,0198']",Zielona 
Gillette ,"['1914,2042']",Nowy Józefów 
Gojawiczyńskiej ,"['0201,0202']",Dąbrowskiego 
Golfowa ,['0575'],Maratońska 
Gombrowicza ,['0204'],Pabianicka NŻ 
Grabina ,"['3325,3326']",Grabina/Lipowa1 
Grabińska ,"['0043,0046']",Grabińska 10 NŻ 
Grabińska ,"['0034,0035']",Nowosolna 
Grabińska ,"['0059,0060']",Podwodna NŻ 
Graniczna ,['1643'],Graniczna 62 NŻ 
Graniczna ,"['2009,2010']",Przestrzenna NŻ 
Graniczna ,['1640'],Rozalii NŻ 
Główna ,"['3588,3589']",Bedońska 
Główna ,"['3586,3587']",Okólna 
Główna ,"['3592,3593']",Rybna 
Hetmańska ,"['1826,2109,2110,1827']",Dąbrówki 
Hetmańska ,"['2106,2105']",Janów 
Hetmańska ,['1811'],Juranda ze Spychowa 
Hetmańska ,"['2108,2107,1810,1809']",Zagłoby 
Hetmańska ,"['4721,2111,2112']",Zakładowa 
Hipoteczna ,['0207'],Limanowskiego 
Hipoteczna ,"['0205,0206']",Olsztyńska 
Hipoteczna ,"['2280,2281']",Pojezierska 
Inflancka ,"['0210,0211']",Gibalskiego 
Inflancka ,"['0212,0209']",Marysińska 
Inflancka ,"['4153,1404']",Zagajnikowa 
Inflancka ,"['0208,0213']",r. Powstańców 1863r. 
Inowrocławska ,['2234'],Wielkopolska 
Jana Pawła II ,['3551'],Daszyńskiego (Konst.) 
Jana Pawła II ,['3552'],Moniuszki (Konstantynów) 
Jana Pawła II ,"['1327,1294']",Obywatelska 
Jana Pawła II ,['1298'],Pabianicka 
Jana Pawła II ,"['1293,1328']",Rogozińskiego 
Jana Pawła II ,"['1295,1326']",Wróblewskiego 
Jana Pawła II ,"['3549,3550']",pl. Kościuszki (Konst.) 
Jana Pawła II ,"['3282,3553']",pl. Wolności(Konstantynów) 
Jana Pawła II ,"['1296,1325']",Łaska 
Janosika ,"['0217,0218']",Powstańców Śląskich 
Janosika ,"['0221,0214']",Pszczyńska 
Janosika ,"['0215,0220']",Telefoniczna 
Janosika ,"['0219,0216']",Wyżynna 
Jaracza ,['0224'],Kilińskiego 
Jaracza ,['0223'],P.O.W. 
Jaracza ,['0225'],Piotrkowska 
Jaracza ,['0222'],Wierzbowa 
Julianowska ,"['0237,0234']",Zgierska 
Julianowska ,"['0235,0236']",Żarnowcowa 
Jędrzejowska ,"['2244,2245']",Whirlpool NŻ 
Józefów ,"['0229,0230']",Bieszczadzka NŻ 
Józefów ,"['0228,0231']",Józefów 60 NŻ 
Józefów ,"['0232,0227']",Nowe Górki NŻ 
Józefów ,"['0233,0226']",Rzgowska NŻ 
Kaczeńcowa ,"['0239,0243']",Aleksandrowska 
Kaczeńcowa ,"['0240,0242']",Kaczeńcowa 16 NŻ 
Kaczeńcowa ,"['0244,0238']",Lniana 
Kaczeńcowa ,['0241'],św. Teresy 
Karolewska ,['0257'],Wileńska 
Karolewska ,['1690'],Włókniarzy 
Karolewska ,"['2071,2072']",Włókniarzy (Dw. Ł. Kaliska) 
Kasprowicza ,"['1715,1720']",ROD Relaks NŻ 
Kasprowicza ,"['1716,1719']",Witkacego NŻ 
Kasprzaka ,"['0264,0261']",Drewnowska 
Kasprzaka ,"['0262,0263']",Kutrzeby 
Kasprzaka ,"['0266,0259']",Legionów 
Kasprzaka ,"['0260,0265']",Srebrzyńska 
Kilińskiego ,"['0316,0270']",Broniewskiego 
Kilińskiego ,"['2178,2177']",Dw. Łódź Chojny 
Kilińskiego ,"['0271,0272,0314']",Dąbrowskiego 
Kilińskiego ,"['0282,0303']",Fabryczna 
Kilińskiego ,['2337'],Jaracza 
Kilińskiego ,['4861'],Klasztor (Lutomiersk) NŻ 
Kilińskiego ,"['0291,0297']",Narutowicza 
Kilińskiego ,"['4750,0286,2202']",Nawrot 
Kilińskiego ,"['0301,0284']",Piłsudskiego 
Kilińskiego ,"['0293,0295']",Pomorska 
Kilińskiego ,"['0273,0313,0312']",Poznańska 
Kilińskiego ,"['0276,0311,0275,0310']",Przybyszewskiego 
Kilińskiego ,"['0298,0290']",Przystanek mBank 
Kilińskiego ,['0294'],Północna 
Kilińskiego ,"['0292,0296']",Rewolucji 1905 r. 
Kilińskiego ,"['0278,0277,0309,0308']",Senatorska 
Kilińskiego ,"['0288,0299,0300']",Tuwima 
Kilińskiego ,"['0306,0279']",Tymienieckiego 
Klonowa ,"['0317,0318']",Limanowskiego 
Kniaziewicza ,"['0320,0321']",Brzóski 
Kniaziewicza ,"['0247,0319']",Kalinowa NŻ 
Kolumny ,"['1797,1796']",Autostrada A1 NŻ 
Kolumny ,"['0322,0344']",Bronisin NŻ 
Kolumny ,"['0325,0341']",Cierniówki NŻ 
Kolumny ,"['0334,0332']",Czajewskiego NŻ 
Kolumny ,"['0327,0339']",Kalinowskiego 
Kolumny ,['3448'],Kolumny 
Kolumny ,"['2067,2068']",Kolumny 118 NŻ 
Kolumny ,"['0324,0342']",Kolumny 242 NŻ 
Kolumny ,"['2066,2065']",Kolumny 88 NŻ 
Kolumny ,"['0338,0328']",Mahoniowa NŻ 
Kolumny ,"['0346,0345']",Morenowa NŻ 
Kolumny ,"['0330,0336']",Mozaikowa NŻ 
Kolumny ,"['0329,0337']",Ogrodnicza NŻ 
Kolumny ,"['0335,0331']",Platanowa NŻ 
Kolumny ,"['2064,2063']",Rzgowska NŻ 
Kolumny ,"['0326,0340']",Tomaszowska 
Kolumny ,"['0343,0323']",Wrzecionowa NŻ 
Kongresowa ,"['1645,1756']",Jutrzenki 
Kongresowa ,['1755'],Pryncypalna 
Kongresowa ,['1646'],Pryncypalna NŻ 
Konspiracyjnego WP ,['1628'],Felińskiego 
Konspiracyjnego WP ,['2255'],Śląska 
Konstantynowska ,"['3475,3476']",CPN 
Konstantynowska ,"['3461,3460']",Kocidłowska      
Konstantynowska ,['0355'],Krakowska (ZOO) 
Konstantynowska ,"['4730,4729']",Krańcowa NŻ 
Konstantynowska ,['3485'],Kwasowa 
Konstantynowska ,"['3462,3463']",Okręglik (Zgierz) 
Konstantynowska ,['3234'],Sokołowska(Zgierz) 
Konstantynowska ,"['1239,0352,0353']",Unii Lubelskiej (Fala) 
Konstantynowska ,"['0357,0347']",Zaj. Muzealna Brus NŻ 
Konstantynowska ,"['3059,3060']",cmentarz (Zgierz) 
Konstantynowska ,"['0354,0351']",park im. Piłsudskiego  
Konstantynowska ,['2080'],park im. Piłsudskiego NŻ 
Konstantynowska ,"['3064,3464']",tor PKP (Zgierz) 
Konstantynów Łódzki ,"['3545,3544']",1-go Maja 
Konstantynów Łódzki ,"['3546,3547']",Kolejowa # 
Konstantynów Łódzki ,['3556'],Kolejowa 28 
Konstytucji 3 Maja ,['4735'],Nowe Miasto(Ozorków) 
Konstytucji 3 Maja ,['4734'],Starzyńskiego(Ozorków) 
Konstytucyjna ,"['0359,0361']",Małachowskiego 
Konstytucyjna ,['1764'],Narutowicza 
Kopanka ,"['3433,3434']",Kopanka 24a 
Kopcińskiego ,"['0365,0368,0364']",Narutowicza 
Kopcińskiego ,"['2048,1147']",Piłsudskiego 
Kopcińskiego ,"['0363,0369,0370,0362']",Tuwima 
Kopcińskiego ,"['1791,0366']",rondo Solidarności 
Kopernika ,"['3313,3314']",Kolejowa (Stryków) 
Kopernika ,"['3252,3251']",Słowackiego (Stryków) 
Kopernika ,"['0373,1818,1819,0380']",Tobaco Park 
Kopernika ,"['0375,0378,0374']",Łąkowa 
Kopernika ,"['0376,4923,2135,0377']",Żeromskiego 
Kosynierów Gdyńskich ,"['0384,0385']",Królewska 
Kosynierów Gdyńskich ,['0387'],Trybunalska 
Kosynierów Gdyńskich ,"['0386,0383']",Wczesna NŻ 
Kosynierów Gdyńskich ,"['1845,1846']",Łazowskiego 
Kotoniarska ,"['2037,2038']",Szybowa 
Kościuszki ,"['0400,0390']",Mickiewicza 
Kościuszki ,"['1702,1703']",Radwańska 
Kościuszki ,"['0396,0392,0393,0397']",Struga 
Kościuszki ,"['0398,0391']",Zamenhofa 
Kościuszki ,"['0395,0394,1924']",Zielona 
Krakowska ,"['0404,0406']",Biegunowa 
Krakowska ,"['0417,1427']",Konstantynowska (ZOO) 
Krakowska ,"['0403,0407']",Michałowicza NŻ 
Krakowska ,"['0402,0408']",Minerska 
Krakowska ,['0405'],Siewna 
Kraszew ,['3578'],Kraszew 
Kraszew ,['3579'],Ustronna 
Krokusowa ,"['1894,1895']",Zrębowa NŻ 
Krzemieniecka ,"['0350,4817']",Konstantynowska (ZOO) 
Krzemieniecka ,"['0415,0412']",Kowieńska 
Krzemieniecka ,"['0416,0411']",Retkińska 
Książąt Polskich ,['0418'],Zakładowa 
Kurczaki ,['0419'],Rzgowska 
Kurczaki ,"['0420,0424']",Socjalna 
Kurczaki ,"['0421,0423']",cm. Kurczaki 
Kusocińskiego ,"['0431,0432']",Armii Krajowej 
Kusocińskiego ,"['1961,1962']",Babickiego 
Kusocińskiego ,"['0430,0433']",Popiełuszki 
Kusocińskiego ,['1960'],Retkińska 
Kutrzeby ,"['1229,1230']",Odolanowska 
Legionów ,['4691'],Artyleryjska 
Legionów ,['4406'],Cmentarna 
Legionów ,"['4901,4906,0639']",Gdańska 
Legionów ,['4902'],Kasprzaka 
Legionów ,"['0642,0643,0630,0631']",Włókniarzy 
Legionów ,"['2142,0637,0638,4907']",Zachodnia 
Legionów ,['4690'],Żeligowskiego 
Leszczowa ,['2247'],Dw. Łódź Pabianicka NŻ 
Limanowskiego ,['1792'],Bałucki Rynek 
Limanowskiego ,['0058'],Dw. Łódź Żabieniec 
Limanowskiego ,['4908'],Grunwaldzka 
Limanowskiego ,"['0440,0447']",Klonowa 
Limanowskiego ,['2320'],Limanowskiego 
Limanowskiego ,"['0448,0449,0438,0439']",Mokra 
Limanowskiego ,"['0442,0445']",Piwna 
Limanowskiego ,"['0450,0436']",Pułaskiego 
Limanowskiego ,"['0441,0446,1686,1683']",Sierakowskiego 
Limanowskiego ,"['0452,0434']",Woronicza 
Limanowskiego ,"['1787,0443,0444']",Zachodnia 
Limanowskiego ,['9013'],zajezdnia LIMANOWSKIEGO 
Liściasta ,"['0462,0465']",Czereśniowa NŻ 
Liściasta ,"['0461,0466']",Liściasta 72 NŻ 
Liściasta ,"['0463,0464']",Zgierska 
Lodowa ,"['0472,0476']",Andrzejewskiej 
Lodowa ,"['0477,0471']",Dostawcza 
Lodowa ,"['0469,0479']",Dąbrowskiego 
Lodowa ,"['0478,0470']",Lodowa 91 
Lodowa ,"['0480,0468']",Lodowa 97 
Lodowa ,"['0467,0481']",Ordonówny 
Lodowa ,"['2249,2133,2134']",Przybyszewskiego 
Lodowa ,"['2312,0627']",Przybyszewskiego NŻ 
Lodowa ,"['0473,0474']",cm. Zarzew 
Lutomierska ,"['0486,0483']",Czarnkowska 
Lutomierska ,"['3019,3018']",Ignacew (Konstantynów) NŻ 
Lutomierska ,['4855'],Klasztor (Lutomiersk) NŻ 
Lutomierska ,"['0482,0487']",Klonowa 
Lutomierska ,"['3094,3089']",Konstantynówek (Konst.) NŻ 
Lutomierska ,"['3274,3273']",Krzywa (Konstantynów) NŻ 
Lutomierska ,"['3278,3277']",Przedmieście (Konst.) NŻ 
Lutomierska ,"['3279,3280']",Sienkiewicza (Konst.) NŻ 
Lutomierska ,"['2034,2035']",Włókniarzy 
Lutomierska ,"['0485,0484']",Zachodnia 
Lutomierska ,"['3276,3275']",Żabiczki (Konstantynów) NŻ 
Maczka ,['2011'],Aeroklub NŻ 
Maczka ,"['0500,1117']",Pienista NŻ 
Malownicza ,"['0531,0534']",Gerberowa NŻ 
Malownicza ,"['0532,0533']",Rataja NŻ 
Malownicza ,"['1590,0530']",Taborowa NŻ 
Maratońska ,['1654'],Bandurskiego 
Maratońska ,"['1982,1981']",Gimnastyczna NŻ 
Maratońska ,"['0554,0538']",Golfowa 
Maratońska ,"['0539,0553']",Kolarska NŻ 
Maratońska ,"['0537,0555']",Maratońska 172 NŻ 
Maratońska ,"['0541,0548']",Maratońska 91 
Maratońska ,"['0544,0545']",Obywatelska 
Maratońska ,"['0547,0542']",Plocka 
Maratońska ,"['0540,0552']",Popiełuszki 
Maratońska ,"['0546,0543']",Retkińska 
Maratońska ,"['0556,0536']",Sanitariuszek NŻ 
Maratońska ,"['1607,1606']",Waltera-Janke NŻ 
Maratońska ,"['1601,1602']",Wróblewskiego 
Maratońska (wew.) ,"['2256,2257']",Plocka 
Maratońska (wew.) ,"['0549,0550']",Popiełuszki 
Marmurowa ,"['0565,0557']",Beskidzka NŻ 
Marmurowa ,['0566'],Brzezińska 
Marmurowa ,"['0558,0564']",Moskuliki # 
Marmurowa ,"['0503,0504']",Opolska NŻ 
Marysińska ,"['0568,2300']",Inflancka 
Marysińska ,"['2181,2182']",Okopowa 
Marysińska ,"['3574,3575']",Rokicińska 
Matek Polskich ,['0727'],ICZMP przychodnia 
Matek Polskich ,"['1844,1843']",ICZMP szpital 
Matek Polskich ,"['0728,0725']",Przednia 
Matek Polskich ,"['1579,1863']",Sczanieckiej 
Małachowskiego ,['0535'],Niciarniana 
Małczewska ,"['3184,3185']",Leśna (Brzeziny) NŻ 
Michałówek ,['3457'],Michałówek 
Michałówek ,['3458'],Michałówek 26 
Mickiewicza ,['2137'],Kościuszki 
Mickiewicza ,"['0496,0498']",Łąkowa NŻ 
Mickiewicza ,"['0569,0570,0577']",Żeromskiego 
Modrzewskiego ,['3245'],Biedronka(Brzeziny) 
Moniuszki ,['3371'],Wiejska (Pabianice) 
Musierowicza ,"['3038,3240']",Piątkowska (Zgierz) 
Musierowicza ,"['3040,3041']",Łęczycka (Zgierz) 
Narutowicza ,"['0581,0605,2339']",Kilińskiego 
Narutowicza ,"['1923,0598,0588,0589,1922']",Kopcińskiego 
Narutowicza ,"['0597,0590,0591,0596']",Matejki (kampus UŁ) 
Narutowicza ,['2041'],P.O.W. 
Narutowicza ,"['2120,2021']",Piotrkowska 
Narutowicza ,"['0594,0593,0592,0595']",Radiostacja 
Narutowicza ,"['0586,0587,0600']",Tramwajowa 
Narutowicza ,"['0603,0602,0584,0585']",pl. Dąbrowskiego 
Nawrot ,['0606'],Kilińskiego 
Nawrot ,['1166'],Sienkiewicza 
Nawrot ,['0607'],Targowa 
Nawrot ,['0608'],Wysoka 
Niciarniana ,['0613'],Czechosłowacka 
Niciarniana ,"['0612,0614']",Dw. Łódź Niciarniana NŻ 
Niciarniana ,"['0610,0617']",Niciarniana 45 
Niciarniana ,"['0616,0611']",Piłsudskiego 
Niciarniana ,['4851'],Przybyszewskiego NŻ 
Niciarniana ,"['1633,1634']",przychodnia 
Niesięcin ,"['3411,3418']",Aleksandrowska 
Niesięcin ,['3412'],Niesięcin 
Niesięcin ,"['3246,3247']",Szczecińska 
Niższa ,"['2179,2180']",Śląska 
Nowe Sady ,['0621'],Elektronowa 
Nowe Sady ,['2326'],Elektronowa NŻ 
Nowe Sady ,['2260'],Pustynna 
Nowe Sady ,"['0626,0623']",ROD Olimpijka 
Nowe Sady ,"['0625,0624']",Waltera-Janke 
Nowe Sady ,"['0622,1611']",zajezdnia MPK 
Nowe Sady ,['9012'],zajezdnia NOWE SADY 
Nowogrodzka ,['2210'],Mazowiecka 
Nowomiejska ,"['0628,0629']",Północna 
Nowomiejska ,['4891'],Stary Rynek 
Nowy Józefów ,"['1915,1916']",Golfowa 
Obr. Westerplatte ,"['0644,0645']",Organizacji WiN 
Obywatelska ,['2349'],Cieszkowskiego 
Obywatelska ,['2348'],Cieszkowskiego NŻ 
Obywatelska ,"['0647,0655']",Elektronowa 
Obywatelska ,"['0653,0652,0650']",Jana Pawła II 
Obywatelska ,"['0649,0654']",Nowe Sady 
Obywatelska ,"['2122,0648']",Obywatelska 106 
Obywatelska ,['0651'],Politechniki 
Odnowiciela ,"['2113,2114']",Hetmańska 
